0, 250
1, 250
2, 250
3, 250
4, 250
5, 250
6, 250
7, 250
8, 250
9, 250
10, 250
11, 250
12, 250
13, 488
14, 714
15, 928
16, 1132
17, 1325
18, 1509
19, 1684
20, 1850
21, 2008
22, 2158
23, 2300
24, 2435
25, 2563
26, 2685
27, 2801
28, 2911
29, 3015
30, 3114
31, 3208
32, 3298
33, 3383
34, 3464
35, 3541
36, 3600
37, 3637
38, 3625
39, 3520
40, 3563
41, 3465
42, 3512
43, 3419
44, 3468
45, 3376
46, 3427
47, 3339
48, 3392
49, 3302
50, 3357
51, 3272
52, 3328
53, 3243
54, 3301
55, 3217
56, 3276
57, 3193
58, 3253
59, 3172
60, 3233
61, 3153
62, 3215
63, 3135
64, 3198
