0, 250
1, 250
2, 250
3, 250
4, 250
5, 250
6, 250
7, 250
8, 250
9, 250
10, 250
11, 250
12, 250
13, 488
14, 714
15, 928
16, 1132
17, 1325
18, 1509
19, 1684
20, 1850
21, 2008
22, 2158
23, 2300
24, 2435
25, 2563
26, 2685
27, 2801
28, 2911
29, 3015
30, 3112
31, 3189
32, 3243
33, 3257
34, 3180
35, 3244
36, 3154
37, 3223
38, 3148
39, 3216
40, 3137
41, 3206
42, 3131
43, 3200
44, 3121
45, 3191
46, 3114
47, 3184
48, 3106
49, 3177
50, 3099
51, 3170
52, 3093
53, 3164
54, 3086
55, 3158
56, 3081
57, 3153
58, 3075
59, 3147
60, 3070
61, 3142
62, 3064
63, 3137
64, 3059
